Voracious Diplomat, 貪欲な外交官
Dark-Spectacled Admiral, 黒眼鏡の提督
Her Enduring Majesty, 永遠なる女王陛下
Traitor Empress, 裏切りの女帝
Lady of the Cages, 檻の婦人
Marchant Venturer, 冒険好きな貿易商
Venturer's Executer, 貿易商の遺言執行人
Wistful Deviless, 物思わしげな女悪魔
Shady Sort, 不審な人物
Chequrered Character, 訳ありの人物
Unsettling Sage, 狼狽させる賢者
Alarming Scholar, 不安を催させる学者
Delightful Adventuress, 愉快な女冒険家
Plausible Surgeon, 口達者な外科医
Shady Cook, 胡散臭い料理人
Scrimshaw Chronicler, 骨細工彫りの年代史家
Avuncular Broker, おじのような仲介人
Hands-On Diplomat, 実践主義的な外交官
Blind Bruiser, 盲目の粗暴者
Drowned Man, 溺れた男
Merciless Modiste, 酷薄な仕立屋
Pirate-King, 海賊王
Bright-eyed Sequencer, 輝く瞳のシーケンサー
Sigil[- ]Eaten Navigator, 印に喰われた航海士
Sigil[- ]Ridden Navigator, 印に苦しむ航海士
Gracious Widow, 心優しい未亡人
Sly Navigator, 賢しげな航海士
Shady Cook, 胡散臭い料理人
Gall-eyed Engineer, 目玉の膨れたエンジニア
Longshanks Gunner, 『育ちすぎ』の砲手
Nacreous Outcast, 真珠族の除け者
Assigner of Corpse, 死体譲渡人
Mr Fires, ミスター・ファイア
Mr Wines, ミスター・ワイン
Mr Sacks, ミスター・サックス
Mr Iron, ミスター・アイアン
Mr Veils, ミスター・ヴェール
Mr Pages, ミスター・ページ
Bishop of St Fiacre, 聖フィアクル聖堂の主教
St Fiacre, 聖フィアクル
St Joshua, 聖ジョシュア
St Cyriac, 聖シリアック
St Arthur, 聖アーサー
St Beau, 聖ボウ
St Cerise, 聖セリース
St Destin, 聖デスティン
St Erzulie, 聖エルズリー
St Forthigan, 聖フォジガン
St Gawain, 聖ガウェイン
Fathomking, ファザムキング
Huffam, ハッファム
Slivvy, スリヴィー
Mercies, メルシー姉妹
Penstock, ペンストック
Mrs Plenty, ミセス・プレンティ
Carrow, カロウ
Lily Clathermont, リリー・クラザモント
Clathermont, クラザモント
Crawcase, クロウケイス
Caligula, カリギュラ
Denuntiatus, ディナンシアタス
Isery, イザリー
Zaira, ザイラ
Bultitude, バルティテュード
Glory, グローリー
Villein, ヴィレイン
Plucky Researcher, 断固たる研究者
Mute Exile, 語らざる亡命者
Smiling Priest, 微笑む司祭
Tireless Mechanic, 疲れ知らずのメカニック
Genial Magician, 気さくなマジシャン
Satisfied Magician, 満足したマジシャン
Urbane Magician, 垢抜けたマジシャン
Wretched Mog, みすぼらしい猫
Snow Child, 雪の子
Crimson('s)? Beast of Winter, 冬の赤獣
Jervaise, ジャーヴェイス
Maybe's Daughter, メイビーの娘
Maybe's Rival, メイビーのライバル
Lady in Lilac, ライラックの服の女
Pirate-Poet, 海賊詩人
Monkey Foundling, 猿の拾い子
Able Seaman Cargit, 腕利き船乗りのカージット
Hairless Postwoman, 髪のない女郵便配達員
Albino Rat, アルビノネズミ
Bourdain, ボーデイン
Melliferous Sister, 蜜花の修道女
Irrepressible Cannoneer, 堪え性のない砲撃手
Brisk Campaigner, 活発な従軍者
Indomitable Campaigner, 不屈の従軍者
Haunted Doctor, 憑りつかれたような医師
Determined Doctor, 決然とした医師
Disillusioned Doctor, 幻滅した医師
Bandaged Poissonnier, 包帯巻きのポワソニエ
Bandaged Chef-Paramount, 包帯巻きの最高料理長
Affable Factor, 愛想の良い代理商
Cladery Heir, クラデリーの後継者
Thief-of-Faces, 『顔盗むもの』
Presbyter, 長老
Presbyterate, 長命衆
Dapper Chap, 粋な紳士
Elegiac Cockatoo, 哀歌調のオウム
Topsy King, トプシー・キング
Feducci, フェドゥーシ
December, ディッセンバー
Nacreous Survivor, 真珠族の生存者
Likely Lass, 人好きのするレディ
Masters of the Bazaar, バザールの支配者たち
King with a Hundred Hearts, 百心の王
