Baseborn & Fowlingpiece, ベースボーン＆フォーリングピース
Leadbeater & Stainrod, リードビーター＆ステインロッド
Cotterell & Hathersage, コットレル＆ハザーセージ
Iron & Misery, アイアン＆ミザリー
Admiralty Yards, 海軍省造船所
Caminus Yards, カミナス造船所
Benthic College, ベンシック学寮
Summerset College, サマセット学寮
Leopard Clan, レオパルド一門
Taimen Clan, テイメン一門
Blind Helmsman, 盲いた操舵手亭
Gaston's Lampery, ガストンズ・ランペリー
Rose-Market, ローズ・マーケット
Medusa's Head, メデューサ・ヘッド
Watchmaker's Hill, ウォッチメイカーズ・ヒル
Stolen River, ストールン・リバー
Roser's Wharf, ローザーズ・ワーフ
Backmost Stairs, 最奥階段
Wildweald Court, ワイルドウィールド・コート
Flit, フリット
High Gate, ハイ・ゲート
Mansion's Pyre, マンションズ・パイア
Wolfstack, ウルフスタック
Stargate, スターゲート
Zeppelin, ツェッペリン
Wisp-Ways, ウィスプ・ウェイズ
Shattered Citadel, 砕かれた砦
Light-Ship, 灯台船
[Tt]he Surface, 地上
Robland, ロブランド
Knot, ノット
Dante's Grill, ダンテの肉料理店
Penstock's Land Agency, ペンストックの土地斡旋屋
Clathermont's Tatoo Parlour, クラザモントのタトゥー屋
Wolfstack Exchange, ウルフスタック取引所
Carrow's Naval Surplus, カロウズ・ネイヴァル・サープラス
Mrs Plenty's (Shipside )?Provisioners, ミセス・プレンティの食料雑貨店
Bultitude's House of Vision, バルティテュードの視界の館
Malebolge Excavations, マーレヴォルジェの発掘品
Daily Bread, 毎日の食事
Brass Embassy, 真鍮の大使館
Labyrinch of Tigers, 虎の迷宮
Excruciation Annex, 苦痛の別館
Brimstone Convention, ブリムストーン総会
Calendar Council, 暦法議会
Customs Service, 関税庁
Royal Navy, 王立海軍
Admiralty, 海軍省
Admiralty's Survey Office, 海軍省情報調査室
Foreign Office, 外務省
Ministry of Public Decency, 良俗省
Office of Incongruous Requests, 不適切要請局
Court of Chancery, 大法官府裁判所
Cage[- ]Gardens, 檻の庭園
Horizon's Aspect, ホライズン・アスペクト
Forgotten Quarter, 忘却街区
High Wilderness, 天上の荒野
Forge of Souls, 魂の炉
Parabora, パラボラ
Khanate, カーネイト
Mirror-Marches, ミラー・マーチ
Cock and Magpie, 雄鳥とカササギ亭
Avernus, アヴェルヌス
Writhing River, のたうつ川
Elder Continent, 旧大陸
House of the Question, 疑問の館
House of the Amber Sky, 琥珀色の空の館
Waswood, 在りし森
Dead Letter Office, 配達不能郵便局
Inky Blotter, インキー・ブロッター
Rose and Tiger, 薔薇虎亭
Cavendish Abbey, キャベンディッシュ大修道院
Honeyed Tongue, ハニード・タング
Axile, アクシル
Nadir, ネイディア
Dilmun Club, ディルムン・クラブ
[Tt]he Replete, リプリート
[Tt]he Gracious, グレイシャス
Mithridate Office, 解毒局
Pillared Sea, 柱の海
