[Oo]fficer, オフィサー
Ambition, 大望
[Ff]alse[- ][Ss]tar, 偽星
[Pp]ostal[- ][Rr]at, 郵便ネズミ
Revenue M[ae]n, 徴税官
[Ss]hapeling, シェイプリング
Midnighter, ミッドナイター
Truthbreaker Turbine, 真実砕きのタービン
Clay M[ae]n, クレイマン
Unfinished M[ae]n, 未完成クレイマン
[Ss]orrow-spider, 悲哀蜘蛛
Greyfields, グレイフィールズ
Broken Giant, ブロークン・ジャイアント
[Bb]lemmigan, ブレミガン
Pentecost, ペンテコステ
[Kk]not[- ][Oo]racle, ノット・オラクル
[Rr]attus[- ][Ff]aber, フェイバーネズミ
(Department of )?Infernal Rarefaction, 悪性希薄科
[Cc]avern[- ][Tt]una, 洞窟マグロ
[Tt]he White, 白きもの
[Rr]iddlefisher, 謎釣り人
Game of Truth, 真実のゲーム
[Ss]hroomer, シュルーム人
Parthenaeum Club, パルテニウム・クラブ
Morelways, メレルウェイズ
[Ff]ingerking, フィンガーキング
Khan, カーン
Khaganian Navy, カーネイト海軍
Khaganian, カーネイト人
Mountain of Light, 光輝の山
Learning About:, 事情を知る:
Supremacy:, 覇権:
[Rr]ubbery[- ][Ll]ump, ラバリー・ランプ
[Ll]acre, ラッカー
[Nn]om[ae]n, ノーマン
Great Signs, グレート・サイン
Sundered Sea, 分かたれた海
Sacks and Snow:, 袋と雪:
[Dd]rown(y|ies), ドラウニー
[Ee]xile's[- ][Rr]ose, 流浪者のバラ
[Ll]amplighter[- ][Bb]ee, 灯点けミツバチ
[Dd]eep[- ][Aa]mber, ディープ・アンバー
[Ss]nuffer, スナッファー
Great Shell, 大いなる甲羅
Young Stags, 若牡鹿
[Ff]rost[- ][Mm]oth, 霜蛾
Salt's Song, Saltの歌
Seven-Serpent, セブン・サーペント
Slowcake's Exceptionals, スロウケイクの名士録
[Nn]evercold[- ][Bb]rass, 冷気逃れの真鍮
[Rr]ostygold, ラスティゴールド
Rubbery M[ae]n, ラバリーマン
The Fruits of the Zee, Zeeよりの収穫
honey-den, 蜜窟
Catt(y|ies), 『猫族』
[Ss]pider[- ][Cc]ouncil, 議会蜘蛛
[Vv]iric, ヴィリック
[Cc]osmogone, コスモゴーン
[Aa]pocyan, アポシアン
[Gg]ant, ギャント
[Ii]rrigo, イリーゴ
[Vv]iolant, ヴァイオラント
[Pp]eligin, ペリジン
Iron, アイアン
Hearts, ハート
Veils, ヴェール
Pages, ページ
Mirrors, ミラー
[Aa]nimescence, 魂遷
Correspondence, コーレスポンデンス
Red[- ]Science, 赤き科学
q:Addressed As, q:呼称
Memoirs:, 記憶:
Your Father's Bones:, 父の遺骨:
Menaces:, 危機:
Objective:, 目的:
